source_id,target_id
0,0
1,0
2,0
3,1
4,1
5,1
6,1
7,1
8,1
9,1
10,1
11,1
12,1
13,1
14,1
15,1
16,1
17,1
18,1
19,1
20,1
21,1
22,1
23,1
24,1
25,1
26,1
27,1
28,1
29,1
30,1
31,1
32,1
33,1
34,1
35,1
36,1
37,2
38,2
39,2
40,2
41,2
42,2
43,2
44,2
45,2
46,2
47,2
48,3
49,3
50,3
51,3
52,3
53,3
54,3
55,3
56,3
57,3
58,3
59,3
60,4
61,4
62,4
63,4
64,4
65,4
66,4
67,4
68,4
69,4
70,4
71,4
72,4
73,4
74,4
75,4
76,4
77,4
78,4
79,5
80,5
81,5
82,5
83,5
84,5
85,5
86,5
87,5
88,6
89,6
90,6
91,6
92,6
93,6
94,6
95,6
96,6
97,6
98,6
99,6
100,6
101,6
102,6
103,6
104,6
105,6
106,6
107,6
108,6
109,6
110,7
111,7
112,7
113,8
114,8
115,8
116,9
117,9
118,10
119,10
120,10
121,11
122,11
123,11
124,12
125,12
126,12
127,12
128,13
129,13
130,13
131,14
132,14
133,15
134,15
135,15
136,16
137,16
138,16
139,16
140,17
141,17
142,17
143,18
144,18
145,18
146,18
147,18
148,18
149,18
150,18
151,18
152,18
153,19
154,19
155,19
156,20
157,20
158,20
159,21
160,21
161,22
162,22
163,22
164,22
165,22
166,22
167,22
168,22
169,23
170,23
171,24
172,24
173,24
174,24
175,24
176,24
177,24
178,24
179,25
180,25
181,25
182,25
183,25
184,25
185,25
186,25
187,26
188,26
189,26
190,26
191,26
192,26
193,26
194,26
195,27
196,27
197,27
198,27
199,27
200,27
201,27
202,27
203,28
204,28
205,29
206,29
207,29
208,29
209,29
210,29
211,29
212,30
213,30
214,30
215,30
216,30
217,30
218,30
219,30
220,30
221,31
222,31
223,31
224,31
225,31
226,31
227,31
228,31
229,31
230,31
231,31
232,31
233,31
234,31
235,31
236,31
237,31
238,31
239,31
240,31
241,31
242,31
243,31
244,31
245,31
246,31
247,31
248,31
249,31
250,31
251,31
252,31
253,31
254,31
255,31
256,31
257,31
258,31
259,31
260,31
261,31
262,31
263,31
264,31
265,31
266,31
267,31
268,31
269,31
270,31
271,31
272,31
273,31
274,31
275,31
276,31
277,31
278,31
279,31
280,31
281,31
282,31
283,31
284,31
285,31
286,31
287,31
288,31
289,31
290,31
291,31
292,31
293,31
294,31
295,31
296,31
297,31
298,31
299,31
300,31
301,31
302,31
303,31
304,31
305,31
306,31
307,31
308,32
309,32
310,32
311,32
312,32
313,32
314,32
315,32
316,32
317,32
318,32
319,33
320,33
321,33
322,34
323,34
324,34
325,35
326,35
327,35
328,35
329,36
330,36
331,36
332,36
333,36
334,36
335,36
336,36
337,36
338,36
339,36
340,36
341,36
342,36
343,36
344,36
345,36
346,36
347,36
348,37
349,37
350,37
351,37
352,37
353,37
354,37
355,37
356,37
357,37
358,37
359,37
360,37
361,37
362,37
363,37
364,37
365,38
366,38
367,38
368,38
369,38
370,38
371,38
372,38
373,38
374,38
375,38
376,38
377,38
378,38
379,38
380,38
381,38
382,38
383,38
384,38
385,38
386,38
387,38
388,38
389,38
390,39
391,39
392,39
393,39
394,39
395,39
396,39
397,39
398,39
399,39
400,39
401,39
402,39
403,39
404,39
405,39
406,39
407,39
408,39
409,39
410,39
411,39
412,39
413,39
414,39
415,39
416,39
417,39
418,40
419,40
420,40
421,40
422,40
423,40
424,41
425,41
426,41
427,42
428,42
429,42
430,42
431,42
432,42
433,42
434,42
435,42
436,42
437,42
438,42
439,42
440,42
441,42
442,42
443,42
444,42
445,42
446,42
447,42
448,42
449,42
450,42
451,42
452,42
453,42
454,43
455,43
456,43
457,43
458,43
459,43
460,43
461,43
462,43
463,43
464,43
465,43
466,43
467,43
468,43
469,44
470,44
471,44
472,45
473,45
474,45
475,45
476,45
477,46
478,46
479,46
480,46
481,46
482,46
483,46
484,46
485,46
486,46
487,46
488,46
489,46
490,46
491,46
492,46
493,46
494,46
495,46
496,46
497,46
498,46
499,47
500,47
501,47
502,47
503,47
504,47
505,47
506,47
507,47
508,47
509,47
510,47
511,47
512,47
513,47
514,47
515,47
516,47
517,47
518,47
519,47
520,47
521,48
522,48
523,48
524,48
525,49
526,49
527,49
528,49
529,49
530,49
531,49
